city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Beidao,34.6000,105.9200,China,CN,Gansu,minor,1225000,74767
Xinyu,27.7950,114.9242,China,CN,Jiangxi,minor,1186700,1186700
Guankou,28.1417,113.6250,China,CN,Hunan,minor,1168056,1168056
Lianyuan,27.6961,111.6659,China,CN,Hunan,minor,1162928,1162928
Rongcheng,29.8239,112.9019,China,CN,Hubei,minor,1162770,1162770
Kaiyuan,36.0656,113.8153,China,CN,Henan,minor,1160000,1160000
Zhuji,29.7169,120.2314,China,CN,Zhejiang,minor,1157938,1157938
Leiyang,26.4179,112.8457,China,CN,Hunan,minor,1151554,1151554
Dadukou,26.5849,101.7149,China,CN,Sichuan,minor,1144000,1144000
Yingchuan,34.1511,113.4733,China,CN,Henan,minor,1131896,1131896
Zhoushan,30.0162,122.0988,China,CN,Zhejiang,minor,1121261,1121261
Hegang,47.3139,130.2775,China,CN,Heilongjiang,minor,1100000,1100000
Yicheng,31.3697,119.8239,China,CN,Jiangsu,minor,1082929,1082929
Mizhou,36.0000,119.4167,China,CN,Shandong,minor,1081960,1081960
Taixing,32.1724,120.0142,China,CN,Jiangsu,minor,1073921,1073921
Xishan,27.6609,113.4946,China,CN,Hunan,minor,1060000,1060000
Zhongwei,37.5139,105.1884,China,CN,Ningxia,minor,1046000,1046000
E’zhou,30.3972,114.8842,China,CN,Hubei,minor,1031000,1031000
Xingcheng,24.1681,115.6669,China,CN,Guangdong,minor,993000,993000
Dongtai,32.8534,120.3037,China,CN,Jiangsu,minor,990306,990306
Yingcheng,24.1876,113.4042,China,CN,Guangdong,minor,986400,986400
Zhaodong,46.0635,125.9773,China,CN,Heilongjiang,minor,980000,980000
Xibeijie,39.7370,98.5049,China,CN,Gansu,minor,977600,977600
Huilong,31.8131,121.6574,China,CN,Jiangsu,minor,972525,972525
Luocheng,22.7645,111.5745,China,CN,Guangdong,minor,959006,959006
Shima,24.4475,117.8118,China,CN,Fujian,minor,956400,956400
Meishan,34.1736,112.8390,China,CN,Henan,minor,936000,936000
Nada,19.5000,109.5833,China,CN,Hainan,minor,932356,932356
Taihe,30.8706,105.3784,China,CN,Sichuan,minor,924531,924531
Lhasa,29.6500,91.1000,China,CN,Tibet,admin,902500,902500
Dengtalu,36.0800,114.3500,China,CN,Henan,minor,887000,781129
Kaifeng Chengguanzhen,34.8500,114.3500,China,CN,Henan,minor,872000,872000
Hai’an,32.5320,120.4604,China,CN,Jiangsu,minor,866337,866337
Weichanglu,37.1792,119.9333,China,CN,Shandong,minor,859424,859424
Leping,28.9632,117.1203,China,CN,Jiangxi,minor,852800,852800
Hailun,47.4585,126.9632,China,CN,Heilongjiang,minor,850000,850000
Tongchuan,34.9057,108.9422,China,CN,Shaanxi,minor,835600,835600
Rongjiawan,29.3801,113.1000,China,CN,Hunan,minor,826000,826000
Wutong,30.6326,120.5474,China,CN,Zhejiang,minor,815848,815848
Gaoyou,32.7847,119.4432,China,CN,Jiangsu,minor,811800,811800
Yiyang,26.4103,112.3913,China,CN,Hunan,minor,810447,810447
Puxi,35.2125,114.7350,China,CN,Henan,minor,809535,809535
Zijinglu,34.7513,112.9854,China,CN,Henan,minor,807857,807857
Xiashi,30.5333,120.6833,China,CN,Zhejiang,minor,806966,806966
Dongyang,29.2785,120.2282,China,CN,Zhejiang,minor,804398,804398
Qingping,34.5380,113.3796,China,CN,Henan,minor,797200,797200
Fuyang,30.0533,119.9519,China,CN,Zhejiang,minor,771000,771000
Zhongba,31.7761,104.7406,China,CN,Sichuan,minor,762140,762140
Qingnian,36.8494,115.7061,China,CN,Shandong,minor,760781,760781
Xinhualu,34.3962,113.7249,China,CN,Henan,minor,758079,758079
Licheng,31.4174,119.4786,China,CN,Jiangsu,minor,749522,749522
