,City,Population at Year-end (10000 persons),Natural growth rate (‰),"Number of employees at the end of the year (10,000 Yuan)",Number of the registered unemployed at the end of year,Average annual salary per urban employee ( Yuan),"Number of average employees on site (10,000 Yuan)",Population density (person / square kilometer),Per Capita GDP(yuan),Secondary industry as percentage to GDP,Service Sector as Percentage to GRP,"Total retail sales of social consumer goods (10,000 Yuan)","Government expenditure on Science (10,000 yuan)","Government expenditure on Education (10,000 yuan)",Number of secondary schools,Number of theaters,Collections of public libraries (100 people),Number of employees joining urban basic medical care system,Persons covered of unemployment insurance,"Population (registered residence population) at the end of the year (10,000)","Number of male population (registered residence population) at the end of the year (10,000)","Number of female population (registered residence population) at the end of the year (10,000)"
81,阜阳市,1059.41,12.264000000000001,34.32676,8486.4,52618.8325,32.78,1053.175,18038.2,41.2175,37.505,7693419.0,41987.8,892084.8,435.2,13.0,5.825,468201.4,255305.6,1059.41,552.7839999999999,506.52000000000015
82,六安市,640.446,8.638000000000002,97.64706,15443.0,59189.138,20.094,390.92,23034.0,44.6075,37.6425,5613880.0,62036.8,683711.8,365.4,13.0,9.42,509259.6,185244.6,640.4000000000002,323.92,289.12
83,合肥市,732.304,9.739999999999998,154.315,176493.6,72602.88399999999,134.558,625.0799999999998,81371.0,51.18250000000001,44.475,24002697.6,659171.0,1304910.0,356.6,49.0,66.16,2150476.8,1336439.4,732.2479999999998,377.82199999999995,354.39599999999996
84,蚌埠市,378.49,13.39,26.98412,27183.4,56820.292,20.926,627.71,42511.8,47.0675,38.655,6539573.4,111111.0,473819.2,172.4,12.0,31.695,601679.8,223175.0,378.528,196.258,182.17400000000004
85,淮南市,331.72,10.67,30.65232,24728.2,67093.674,28.785999999999998,946.885,30155.2,49.8125,39.1225,5004952.4,30482.4,341506.4,165.2,6.0,18.415,677800.2,304246.0,331.564,188.222,170.792
86,铜陵市,132.12,4.31,17.04484,9566.0,62602.91,16.05,615.235,71999.8,62.69,33.2725,2950854.2,75831.6,207048.8,68.0,7.0,98.9,419933.0,176680.6,132.096,77.596,73.792
87,马鞍山市,228.54,4.032,23.7012,21355.25,67635.628,22.51,563.385,68826.0,56.9975,37.5675,4764224.4,93227.0,321443.2,104.6,4.0,50.3,593409.2,256911.2,228.632,117.884,110.928
88,淮北市,216.76,11.314,22.78546,19665.8,57895.59199999999,22.098000000000003,788.5799999999998,38486.0,58.1675,34.39,2993199.4,13228.4,241263.0,124.2,5.0,40.725,552935.6,255204.8,216.72200000000004,111.192,105.436
89,芜湖市,386.858,4.524,46.34534000000001,17197.2,62305.246,42.49,638.49,74777.8,57.32,37.9925,8347898.6,478077.0,629435.2,210.2,9.0,47.555,925570.4,410604.2,386.75800000000004,199.59799999999998,187.08
90,安庆市,566.2,5.4,34.97592,14984.6,54724.515999999996,32.194,403.48,34243.8,50.12000000000001,37.4225,6938548.2,82705.4,667724.6,333.4,25.0,25.155,635878.0,256178.0,566.188,282.8660000000001,264.014
91,黄山市,148.078,3.8819999999999997,11.53384,5565.2,61433.988,10.552,151.76,42167.0,39.9575,50.2125,3147817.4,45014.0,172262.8,118.4,14.0,60.065,240581.4,99902.6,148.086,75.85600000000002,72.312
92,亳州市,644.87,9.914,24.067120000000003,7859.2,52343.68,21.254,744.835,20816.6,39.085,41.1925,4871120.4,35099.0,510944.4,287.4,10.0,15.09,349570.6,154908.6,644.79,339.662,305.0900000000001
93,福州市,687.2520000000002,10.012,159.05486000000005,33829.4,69450.812,139.126,525.7349999999999,82385.5,42.92249999999999,49.57,38350311.4,158764.6,1461191.0,319.4,36.0,120.295,1835481.2,1188630.2,687.184,351.61399999999986,335.662
94,三明市,286.42400000000004,13.562,24.40308,10091.2,65480.386,21.344,123.67,74308.75,51.5675,34.3675,4903749.0,41773.8,520682.8,156.4,20.0,169.86,472247.0,293083.4,286.432,149.69,136.57
95,南平市,319.812,7.431999999999999,24.79508,18741.2,60015.575999999994,21.372,121.615,54936.25,43.1725,36.335,5605738.8,24899.8,463777.6,163.8,8.0,64.835,454552.4,319454.4,319.778,165.072,154.762
96,宁德市,351.624,10.628,30.189460000000004,11016.6,61934.212,26.322000000000006,260.645,55902.75,50.485,32.73,5138028.0,27698.4,513881.2,176.4,6.0,36.235,571989.0,212068.0,351.58,184.516,166.942
97,莆田市,350.092,15.532,52.25386000000001,7898.0,56807.29,47.06399999999999,829.35,62850.25,55.935,37.46249999999999,6277679.0,30200.2,537239.2,145.0,4.0,27.185,395557.2,269810.4,350.144,178.84799999999998,171.21
98,泉州市,733.13,15.254000000000001,148.37888,21382.8,57463.20400000001,141.882,652.845,79018.25,59.525,37.6575,27631022.6,131575.6,1284503.4,326.2,34.0,88.19,1239544.4,660305.4,733.154,379.848,353.836
99,漳州市,508.496,13.318,56.29076,12435.8,62784.52800000001,46.466,387.97,61388.25,48.215,38.8325,8877637.2,52067.0,676000.0,207.4,10.0,90.315,732711.8,388039.6,508.456,261.10600000000005,247.474
100,龙岩市,313.096,14.464000000000002,31.479000000000006,16493.0,58727.566000000006,28.496,161.60500000000005,73147.0,51.405,37.3175,7298365.2,67208.4,553762.0,169.2,8.0,58.94,510953.2,363103.6,313.0300000000001,162.23799999999997,150.638
101,厦门市,221.91,14.722000000000001,142.28258,27680.0,71965.698,128.30599999999998,1267.615,98127.0,42.59,56.7775,13026665.6,219052.0,1119140.4,93.4,5.0,252.605,2499640.0,1975360.0,221.54,109.42200000000001,111.62
102,南昌市,523.616,11.357999999999999,122.32173999999999,64307.8,66149.62599999999,103.508,700.98,80918.75,53.23,42.645,18128683.8,150720.8,935388.8,286.4,9.0,99.195,1327819.4,614098.8,532.3976399999998,278.13136000000003,260.34064
103,景德镇市,168.50599999999997,7.99,18.86168,17622.2,51676.848,17.348,318.23,48591.5,54.4575,38.31,2973390.6,24483.0,253506.8,100.0,6.0,58.435,393216.0,134611.8,167.46828,84.9687,80.29690000000002
104,萍乡市,199.308,10.526,19.46796,16132.2,55388.2,18.32,517.125,49659.25,54.2925,39.40000000000001,3343349.4,46541.4,300950.8,106.2,11.0,50.16,505740.6,155486.8,196.47104,96.62628000000001,94.64296
105,九江市,518.538,11.329999999999998,44.01042,16100.2,57131.85600000001,40.538000000000004,265.04999999999995,43803.5,52.7725,39.8875,6483532.8,70042.4,855116.8,281.6,20.0,40.145,827609.6,347696.2,505.34045999999995,246.66099999999997,238.34764000000004
106,新余市,123.364,9.395999999999997,13.57102,13412.2,56670.16,12.912,387.505,83605.25,53.81,40.3225,2377507.8,24408.2,206684.6,39.6,2.0,52.615,291559.0,111225.8,121.3126,60.79968,56.573040000000006
107,鹰潭市,127.83200000000002,9.922,15.1846,9534.6,60322.834,14.774,356.6,59659.5,58.6475,33.845,1912822.4,38228.6,191501.0,84.0,6.0,34.975,181332.4,84744.2,123.28226000000002,60.23560000000001,55.81796000000001
108,赣州市,968.166,13.992,56.36502,32176.4,55578.10400000001,53.26000000000001,243.02,25761.5,43.5075,42.1,7834650.8,135450.4,1405372.6,467.4,26.0,35.23000000000001,949138.6,363262.2,923.42972,438.28534,420.84222
109,宜春市,600.318,11.776000000000002,45.0597,26700.6,50136.96400000001,42.298,319.42,32172.25,48.94,36.7775,5855514.8,124708.6,845132.8,246.2,40.0,27.25,887833.0,264089.0,581.45782,285.4098800000001,267.884
110,上饶市,780.3,11.47,43.52288,29175.6,54197.45,39.122,339.41,26851.25,48.0625,39.005,7096149.0,58842.8,988103.0,413.4,20.0,23.815,750064.2,298740.8,737.7815,347.13983999999994,327.8361000000001
