,number of cases,City,location_ENG,Population at Year-end (10000 persons),Natural growth rate (‰),"Number of employees at the end of the year (10,000 Yuan)",Average annual salary per urban employee ( Yuan),Population density (person / square kilometer),Per Capita GDP(yuan),Secondary industry as percentage to GDP,Service Sector as Percentage to GRP,Number of theaters,Collections of public libraries (100 people),province
29,1,延边朝鲜族自治州,"('Yanbian', 'Jilin')",361.99800000000005,-1.362,42.942935999999996,53010.10280000001,212.567,52683.45,45.95,41.28600000000001,9.4,43.73700000000001,Jilin
30,1,开封市,"('Kaifeng', 'Henan')",751.6039733333333,8.099084444444445,70.55470951111111,49639.45112888889,796.9987999999998,42825.57416,48.19601111111111,38.94972222222222,10.55111111111111,22.84502222222222,Henan
31,1,张家界市,"('Zhangjiajie', 'Hunan')",170.61399999999998,2.112,8.749179999999999,57319.01,179.76,32333.0,21.5075,67.3025,8.0,12.65,Hunan
32,1,张掖市,"('Zhangye', 'Gansu')",248.69666666666672,5.920000000000001,25.580428888888893,57820.24133333333,124.93402777777779,31196.658833333335,35.240833333333335,47.496458333333344,8.75,40.95458333333333,Gansu
33,1,德宏傣族景颇族自治州,"('Dehong', 'Yunnan')",608.0079999999999,9.54,67.6228,62658.793333333335,257.24666666666667,36500.6,44.02666666666667,41.67,23.0,30.530000000000005,Yunnan
34,1,怀化市,"('Huaihua', 'Hunan')",522.506,4.606,26.331879999999998,55104.575999999994,187.99,27551.6,38.55,47.5075,5.0,31.57,Hunan
35,1,怒江傈僳族自治州,"('Nujiang', 'Yunnan')",608.0079999999999,9.54,67.6228,62658.793333333335,257.2466666666666,36500.6,44.026666666666664,41.67,23.0,30.53,Yunnan
36,1,恩施土家族苗族自治州,"('Enshi', 'Hubei')",470.54669135802465,7.309456790123456,69.8675874074074,47766.072888888884,510.13203703703704,53107.456790123455,48.86145061728394,37.427962962962965,24.098765432098766,47.217901234567904,Hubei
37,1,承德市,"('Chengde', 'Hebei')",734.9198,7.492399999999999,58.206888000000006,58297.1872,537.2045,43333.311,46.03675,41.881750000000004,14.8,26.4745,Hebei
38,1,揭阳市,"('Jieyang', 'Guangdong')",700.176,13.796,38.49203999999999,48421.66,1332.21,32376.4,57.2925,34.0225,5.0,14.825,Guangdong
39,1,文山壮族苗族自治州,"('Wenshan', 'Yunnan')",608.0079999999999,9.54,67.6228,62658.793333333335,257.24666666666667,36500.6,44.02666666666667,41.669999999999995,23.0,30.53,Yunnan
40,1,昌吉回族自治州,"('Changji', 'Xinjiang')",249.34599999999998,4.372,72.02188000000002,73310.07800000001,193.615,75917.0,31.4875,67.4425,4.0,86.97,Xinjiang
41,1,晋中市,"('Jinzhong', 'Shanxi')",334.7017503429355,4.938663923182442,44.094629218107,57258.835533607686,271.0315637860083,43074.05761316872,47.512146776406034,45.79680041152264,12.813443072702333,53.93906721536351,Shanxi
42,1,普洱市,"(""Pu'er"", 'Yunnan')",608.0079999999999,9.540000000000001,67.6228,62658.793333333335,257.2466666666666,36500.6,44.02666666666668,41.67,23.0,30.529999999999998,Yunnan
43,1,景德镇市,"('Jingdezhen', 'Jiangxi')",168.50599999999997,7.99,18.86168,51676.848,318.23,48591.5,54.4575,38.31,6.0,58.435,Jiangxi
44,1,朝阳市,"('Chaoyang', 'Liaoning')",338.9,1.164,25.24344,48914.587999999996,173.02,28128.8,31.4675,45.1125,8.0,25.57,Liaoning
45,1,楚雄彝族自治州,"('Chuxiong', 'Yunnan')",608.0079999999999,9.54,67.6228,62658.793333333335,257.24666666666667,36500.6,44.02666666666668,41.67,23.0,30.529999999999998,Yunnan
46,1,武威市,"('Wuwei', 'Gansu')",268.38711111111115,6.0823333333333345,27.78908370370371,57689.400555555556,140.59469907407404,31158.801972222223,36.43680555555555,47.48503472222223,9.208333333333334,31.267847222222226,Gansu
