,city,"Population at Year-end (10,000 persons)",Natural growth rate (‰),"Number of employees at the end of the year (10,000 Persons)","Number of the registered unemployed at the end of year (10,000 Persons)",Average annual salary per urban employee (Yuan),"Number of average employees on site (10,000 persons)",Population density (person / square kilometer),Per Capita GDP(yuan),Secondary industry as percentage to GDP,Service Sector as Percentage to GDP,"Total retail sales of social consumer goods (10,000 Yuan)","Government expenditure on Science (10,000 yuan)","Government expenditure on Education (10,000 yuan)",Number of secondary schools,Number of theaters,Number of collections of public library (/100 people),Number of persons joining urban basic medical care system,Persons covered of unemployment insurance,"Population (registered residence population) at the end of the year (10,000)","Number of male population (registered residence population) at the end of the year (10,000)","Number of female population (registered residence population) at the end of the year (10,000)"
48,黑河市,164.3,-2.84,21.585740000000005,9154.4,46090.615,12.702,24.78,28204.6,15.489999999999998,37.5275,1097567.0,7288.4,173036.4,75.6,6.0,20.84,270686.75,47605.2,164.262,82.774,81.28524
49,伊春市,118.23800000000001,-5.2540000000000004,17.17012,21249.8,36261.094,15.581999999999999,37.04,21657.6,20.872500000000002,37.96,1195324.6,3066.4,80321.8,50.4,8.0,70.405,387509.8,125358.8,118.244,58.82000000000001,59.52414000000001
50,大庆市,274.696,-2.568,51.343320000000006,40367.4,74261.65400000001,49.988,129.83499999999998,110327.4,62.6075,31.0075,11097332.2,7517.6,410146.6,145.8,21.0,92.47999999999999,588916.25,180396.4,276.156,138.358,138.95966
51,绥化市,539.3399999999999,-3.6879999999999997,26.11644,20316.0,43393.736,23.924,158.03,23895.4,26.1425,35.41,5650373.6,8841.0,557965.6,256.8,13.0,21.5,512528.25,134700.4,539.392,275.762,263.71326
52,上海市,1449.734,-1.03,670.8189800000001,230920.0,117481.352,625.842,2272.45,113177.5,31.52,68.065,109761100.8,3384230.6,8191809.6,802.0,81.0,518.125,15226880.0,8324420.0,1449.836,,
53,南京市,668.62,5.604,214.38671999999997,64640.2,92225.052,189.376,988.1,126466.5,39.35,58.309999999999995,50565345.8,595426.8,1977627.4,229.0,63.0,165.04500000000002,4016108.8,2637707.2,668.608,,334.744
54,无锡市,486.8,2.1799999999999997,116.20534,39777.8,81762.19399999999,104.654,1035.38,143213.75,48.542500000000004,49.9975,31411626.2,401144.6,1394375.2,183.2,46.0,101.06,3133088.8,2066810.6,486.842,,246.57199999999997
55,徐州市,1035.44,10.0,99.52374,31191.6,59338.183999999994,88.634,872.3,65731.5,43.6075,46.965,26211915.2,208879.6,1588004.4,336.2,9.0,30.145,1847795.0,885550.0,1035.3939999999998,,499.33728
56,常州市,375.09000000000003,2.418,69.46674,32531.2,79063.416,64.034,845.88,122160.5,47.3975,49.99,22111837.4,237916.0,865184.6,160.6,7.0,83.425,1905431.0,1126773.2,375.13,,189.85791999999998
57,苏州市,680.222,4.077999999999999,297.82741999999996,37780.2,80177.656,289.408,767.0550000000001,146487.0,48.43,50.18,49366441.8,1071268.0,2618902.0,290.4,23.0,245.06,6386175.0,4183110.0,680.132,,346.71567999999996
58,南通市,765.674,-1.442,211.24262,35504.0,71220.688,176.504,727.38,92428.75,47.9675,46.5525,26281209.4,267821.0,1524867.8,208.0,35.0,59.685,2083810.4,1040449.8,765.578,,388.8639999999999
59,连云港市,531.612,8.34,47.26145999999999,12581.4,63112.824,42.31,694.365,51753.0,44.345,42.9425,9326081.6,99667.8,745150.0,175.6,12.0,48.67,848112.2,397476.6,531.6800000000001,,254.158
60,淮安市,562.95,4.148000000000001,65.44136,20174.2,60455.964,58.89,560.44,60711.5,42.644999999999996,46.4775,10712222.6,102095.6,785425.4,186.0,7.0,43.85,952420.0,645180.0,563.016,,273.88844
61,盐城市,827.7059999999999,3.37,85.56136,18450.6,59095.36,74.28999999999999,489.20000000000005,62669.75,45.3325,42.8825,15994222.6,276752.8,1268987.0,278.0,10.0,36.730000000000004,1476172.8,744456.0,827.652,,400.61443999999995
62,扬州市,460.684,0.8719999999999999,103.80564,24909.6,67260.448,94.128,699.695,98099.0,49.61750000000001,44.68,13549789.6,135607.2,818140.6,166.4,6.0,66.645,1353866.0,651178.0,460.65,,230.58800000000002
63,镇江市,271.554,0.558,46.138459999999995,14169.4,69160.86,43.036,708.425,115128.0,49.2625,47.105,12162469.0,133549.8,672121.0,110.8,4.0,107.265,968482.8,521533.8,271.51,,137.21582
64,泰州市,506.46999999999997,0.16799999999999998,110.48478,16197.8,61740.464,98.42999999999999,878.27,87625.75,48.5675,45.565,11121345.4,117851.6,710448.6,185.2,28.0,49.285,1392333.2,654058.2,506.54799999999994,,248.43800000000002
65,宿迁市,588.196,9.834,48.60474,11558.8,56045.214,44.902,684.385,47008.25,47.965,40.1525,7024372.4,92665.8,752578.8,185.2,11.0,20.119999999999997,695688.8,322290.6,588.2479999999999,,283.018
66,杭州市,740.67,6.198,287.6693,38906.6,87834.288,264.614,433.765,123124.4,37.730000000000004,59.57,51015285.4,816017.6,2507756.2,327.8,78.0,267.4,6165799.0,3861586.0,740.6659999999999,368.67384,371.9833
67,嘉兴市,353.116,2.5300000000000002,79.18498,26927.4,75022.12,67.61800000000001,890.345,86528.8,53.160000000000004,43.2975,16450660.8,185000.6,952963.0,172.0,31.0,204.60500000000002,2467967.6,1221303.0,353.27799999999996,173.56426,179.74424000000002
68,湖州市,265.102,2.2600000000000002,49.49288,16406.0,67329.956,42.378,453.42,77635.4,48.8275,45.597500000000004,10778754.0,103546.8,583004.4,121.0,5.0,78.36500000000001,1503832.0,682400.0,265.142,131.20806,133.90061999999998
69,舟山市,97.172,-0.8380000000000001,35.06118,9118.4,83081.45,17.0875,668.3499999999999,101738.8,39.1625,50.55,4584061.4,55591.2,295397.0,41.8,9.0,158.455,510594.4,219627.2,97.18199999999999,48.01302,49.23271999999999
70,金华市,481.838,5.6739999999999995,89.3111,24454.4,73282.60800000001,59.26800000000001,435.51,66313.4,44.93,51.1225,18862151.25,174957.6,1003615.4,242.6,26.0,62.43000000000001,2146372.2,818428.6,481.73600000000005,244.97716,236.78364000000002
71,绍兴市,444.822,1.9100000000000001,130.0989,38494.6,63550.043999999994,121.098,535.115,96356.8,50.160000000000004,45.6025,17753623.4,239884.0,976823.8,185.0,35.0,81.10499999999999,2438286.8,1237492.2,444.96000000000004,222.06394,222.80989999999997
72,温州市,819.382,7.836,108.46456,30100.6,70619.936,92.562,672.8050000000001,55519.2,42.92,54.42000000000001,28989343.8,141449.4,1606879.6,453.0,10.0,136.405,2597883.6,1140610.8,819.24,424.7393,394.54474
